EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
73	17:51:04	0.0031	0.1440	0.2788	0.9246	0.9246	0.9246	0.9246
74	17:51:11	0.0031	0.1378	0.2784	0.9251	0.9251	0.9251	0.9251
75	17:51:19	0.0031	0.1428	0.2779	0.9247	0.9247	0.9247	0.9247
76	17:51:27	0.0031	0.1404	0.2786	0.9257	0.9257	0.9257	0.9257
77	17:51:35	0.0016	0.1388	0.2779	0.9256	0.9256	0.9256	0.9256
78	17:51:43	0.0016	0.1411	0.2780	0.9256	0.9256	0.9256	0.9256
79	17:51:50	0.0016	0.1387	0.2785	0.9257	0.9257	0.9257	0.9257
80	17:51:58	0.0016	0.1380	0.2784	0.9249	0.9249	0.9249	0.9249
81	17:52:05	0.0008	0.1385	0.2783	0.9248	0.9248	0.9248	0.9248
82	17:52:13	0.0008	0.1409	0.2782	0.9249	0.9249	0.9249	0.9249
83	17:52:21	0.0008	0.1373	0.2784	0.9249	0.9249	0.9249	0.9249
84	17:52:28	0.0008	0.1354	0.2783	0.9247	0.9247	0.9247	0.9247
85	17:52:36	0.0004	0.1407	0.2783	0.9248	0.9248	0.9248	0.9248
86	17:52:44	0.0004	0.1429	0.2782	0.9248	0.9248	0.9248	0.9248
87	17:52:51	0.0004	0.1415	0.2782	0.9247	0.9247	0.9247	0.9247
88	17:52:58	0.0004	0.1415	0.2782	0.9248	0.9248	0.9248	0.9248
89	17:53:06	0.0002	0.1386	0.2781	0.9249	0.9249	0.9249	0.9249
90	17:53:14	0.0002	0.1417	0.2780	0.9249	0.9249	0.9249	0.9249
91	17:53:22	0.0002	0.1385	0.2781	0.9251	0.9251	0.9251	0.9251
